"A1" "A2" "A3" "B1" "B2" "B3"
"26119" 526 359 458 4910 5586 7489
"57134" 310 345 428 782 827 1307
"100507013" 14 20 61 4 6 22
"57190" 5180 4949 4752 17654 16824 19899
"56181" 772 738 804 1462 1661 1952
"646471" 261 346 428 164 193 210
"79000" 76 84 99 13 36 66
"164091" 1220 2522 2120 153 203 259
"3925" 65 22 46 1018 1521 3334
"5051" 194 177 276 1842 1924 2241
"2134" 0 6 0 8 16 23
"7780" 0 0 0 0 0 0
"84676" 0 11 0 63 94 0
"149420" 392 624 760 681 799 744
"79927" 0 0 0 0 8 4
"100128346" 11 5 10 5 4 4
"51042" 50 62 53 150 134 169
"10256" 14 26 24 5 10 8
"378807" 0 0 0 0 0 0
"64793" 1654 1341 1741 1446 1535 1757
"83442" 28592 18417 18551 53815 54477 63409
"91544" 13297 11200 12759 2247 2754 3470
"1043" 8903 7899 7143 15067 15765 22051
"55057" 28 59 22 33 52 39
"257101" 41 18 10 0 0 0
"79727" 0 0 1 0 0 0
"79947" 668 710 810 2325 2670 3276
"3151" 11538 7511 9102 8143 9297 13903
"6195" 4576 4866 4931 24523 32029 34101
"100302190" 0 0 0 0 0 0
"8289" 7249 10008 9325 6283 6806 6989
"55650" 130 160 236 630 581 837
"84243" 5152 6277 7857 2382 2506 3237
"2810" 42 76 200 4 12 2
"54707" 685 744 1133 1076 935 1225
"63906" 914 919 1265 809 883 1015
"8431" 0 2 0 0 1 2
"10726" 1446 1307 1316 2924 3235 3624
"126695" 10 2 1 0 0 8
"646567" 0 0 0 0 0 0
"388610" 90 125 145 23 1 4
"115572" 60 62 36 0 2 0
"6548" 1811 2114 1363 4611 4753 5690
"23038" 2798 1904 2505 3715 4053 5155
"84065" 509 356 602 1113 1168 1534
"644961" 108 113 144 40 73 45
"84958" 1748 2720 2754 4645 4002 5120
"9064" 775 662 748 1779 2362 2389
"8547" 5 0 0 0 1 0
"388611" 10 10 0 6 0 0
"2827" 148 51 107 71 54 92
"10163" 10490 12288 13352 11602 12523 15313
"27245" 2152 1181 2570 1290 1745 1573
"2268" 35559 33479 35458 22771 24109 24872
"2537" 1716 3395 2436 9526 34315 8514
